"accession"	"organism"	"isolation_source"	"host"	"collected_by"	"mol_type"	"collection_date"	"isolate"	"db_xref"	"country"	"ids"
"KM034549"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"25-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM095B"	"taxon:186538"	"Sierra Leone"	"EM095B"
"KM034550"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"25-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM095"	"taxon:186538"	"Sierra Leone"	"EM095"
"KM034551"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"26-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM096"	"taxon:186538"	"Sierra Leone"	"EM096"
"KM034552"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"26-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM098"	"taxon:186538"	"Sierra Leone"	"EM098"
"KM034553"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"27-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3670.1"	"taxon:186538"	"Sierra Leone"	"G3670"
"KM034554"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"27-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3676.1"	"taxon:186538"	"Sierra Leone"	"G3676"
"KM034555"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"06-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3676.2"	"taxon:186538"	"Sierra Leone"	"G3676"
"KM034556"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"26-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3677.1"	"taxon:186538"	"Sierra Leone"	"G3677"
"KM034557"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"27-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3677.2"	"taxon:186538"	"Sierra Leone"	"G3677"
"KM034558"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"28-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3679.1"	"taxon:186538"	"Sierra Leone"	"G3679"
"KM034559"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"28-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3680.1"	"taxon:186538"	"Sierra Leone"	"G3680"
"KM034560"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"28-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3682.1"	"taxon:186538"	"Sierra Leone"	"G3682"
"KM034561"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"28-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3683.1"	"taxon:186538"	"Sierra Leone"	"G3683"
"KM034562"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"28-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3686.1"	"taxon:186538"	"Sierra Leone"	"G3686"
"KM034563"	"Zaire ebolavirus"	"serum"	"Homo sapiens"	NA	"viral cRNA"	"28-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3687.1"	"taxon:186538"	"Sierra Leone"	"G3687"
"KM233035"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"02-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM104"	"taxon:186538"	"Sierra Leone"	"EM104"
"KM233036"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"02-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM106"	"taxon:186538"	"Sierra Leone"	"EM106"
"KM233037"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"03-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM110"	"taxon:186538"	"Sierra Leone"	"EM110"
"KM233038"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"03-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM111"	"taxon:186538"	"Sierra Leone"	"EM111"
"KM233039"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"03-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM112"	"taxon:186538"	"Sierra Leone"	"EM112"
"KM233040"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"03-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM113"	"taxon:186538"	"Sierra Leone"	"EM113"
"KM233041"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"03-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM115"	"taxon:186538"	"Sierra Leone"	"EM115"
"KM233042"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"03-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM119"	"taxon:186538"	"Sierra Leone"	"EM119"
"KM233043"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"03-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM120"	"taxon:186538"	"Sierra Leone"	"EM120"
"KM233044"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"04-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM121"	"taxon:186538"	"Sierra Leone"	"EM121"
"KM233045"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"04-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM124.1"	"taxon:186538"	"Sierra Leone"	"EM124"
"KM233046"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"06-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM124.2"	"taxon:186538"	"Sierra Leone"	"EM124"
"KM233047"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"08-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM124.3"	"taxon:186538"	"Sierra Leone"	"EM124"
"KM233048"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"09-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-EM124.4"	"taxon:186538"	"Sierra Leone"	"EM124"
"KM233049"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"31-May-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3707"	"taxon:186538"	"Sierra Leone"	"G3707"
"KM233050"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"09-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3713.2"	"taxon:186538"	"Sierra Leone"	"G3713"
"KM233051"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"11-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3713.3"	"taxon:186538"	"Sierra Leone"	"G3713"
"KM233052"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"13-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3713.4"	"taxon:186538"	"Sierra Leone"	"G3713"
"KM233053"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"05-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3724"	"taxon:186538"	"Sierra Leone"	"G3724"
"KM233054"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"07-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3729"	"taxon:186538"	"Sierra Leone"	"G3729"
"KM233055"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"07-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3734.1"	"taxon:186538"	"Sierra Leone"	"G3734"
"KM233056"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"07-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3735.1"	"taxon:186538"	"Sierra Leone"	"G3735"
"KM233057"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"09-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3735.2"	"taxon:186538"	"Sierra Leone"	"G3735"
"KM233058"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"10-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3750.1"	"taxon:186538"	"Sierra Leone"	"G3750"
"KM233059"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3750.2"	"taxon:186538"	"Sierra Leone"	"G3750"
"KM233060"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3750.3"	"taxon:186538"	"Sierra Leone"	"G3750"
"KM233061"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"10-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3752"	"taxon:186538"	"Sierra Leone"	"G3752"
"KM233062"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"11-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3758"	"taxon:186538"	"Sierra Leone"	"G3758"
"KM233063"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3764"	"taxon:186538"	"Sierra Leone"	"G3764"
"KM233064"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3765.2"	"taxon:186538"	"Sierra Leone"	"G3765"
"KM233065"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3769.1"	"taxon:186538"	"Sierra Leone"	"G3769"
