Horse	Yard	Date of first positive	SwabDate	Location	Latitutde	Longitude	Isolate	Accessions
01	A	2007-03-14	2007-03-14	Newmarket	52.250183	0.413163	305066	HE967958-HE968025
02	B	2007-03-26	2007-03-26	Newmarket	52.248395	0.409831	306420	HE968244-HE968276
03	B	2007-03-26	2007-03-26	Newmarket	52.248795	0.409831	306216	HE968025-HE968031
04	C	2007-03-27	2007-03-27	Newmarket	52.243081	0.388347	306287	HE968031-HE968094
05	D	2007-03-28	2007-03-28	Newmarket	52.2502128	0.409787211	306306	HE968094-HE968176
06	D	2007-03-28	2007-03-28	Newmarket	52.2499892	0.409479443	306442	HE968276-HE968316
07	E	2007-03-28	2007-03-28	Newmarket	52.25529142	0.421175579	306338	HE968176-HE968244
08	G	2007-03-29	2007-03-29	Newmarket	52.257377	0.407009	306608	HE968316-HE968355
09	E	2007-03-29	2007-03-29	Newmarket	52.25529142	0.421458421	307048	HE968446-HE968496
10	E	2007-03-29	2007-03-29	Newmarket	52.25535	0.421317	307032	HE968366-HE968446
11	F	2007-03-29	2007-03-29	Newmarket	52.24439	0.386876	306617	HE968355-HE968366
12	D	2007-04-01	2007-04-01	Newmarket	52.250351	0.409597	307148	HE968496-HE968535
13	E	2007-04-01	2007-04-01	Newmarket	52.25515	0.421517	307259	HE968558-HE968603
14	E	2007-04-01	2007-04-01	Newmarket	52.25495	0.421317	307241	HE968535-HE968544
15	E	2007-04-01	2007-04-01	Newmarket	52.25515	0.421117	307254	HE968544-HE968558
16	H	2007-04-02	2007-04-02	Newmarket	52.251824	0.381719	307414	HE968650-HE968677
17	I	2007-04-02	2007-04-02	Newmarket	52.243762	0.413923	307298	HE968603-HE968650
18	E	2007-04-02	2007-04-02	Newmarket	52.25500858	0.421458421	307476	HE968798-HE968872
19	E	2007-04-02	2007-04-02	Newmarket	52.25500858	0.421175579	307480	HE968872-HE968946
20	D	2007-04-03	2007-04-03	Newmarket	52.2502128	0.409406789	307420	HE968677-HE968723
21	J	2007-04-03	2007-04-03	Newmarket	52.243183	0.413788	307434	HE968723-HE968733
22	K	2007-04-03	2007-04-03	Newmarket	52.250954	0.407253	307437	HE968733-HE968798
23	H	2007-04-05	2007-04-05	Newmarket	52.251824	0.382119	307711	HE969013-HE969059
24	H	2007-04-05	2007-04-05	Newmarket	52.251624	0.381919	307710	HE968946-HE969013
25	L	2007-04-09	2007-04-09	Newmarket	52.24904803	0.37995115	308138	HE969115-HE969159
25	L	2007-04-09	2007-04-11	Newmarket	52.24904803	0.37995115	308860	HE969405-HE969469
26	L	2007-04-09	2007-04-10	Newmarket	52.2489871	0.379856347	308653	HE969223-HE969224
27	L	2007-04-09	2007-04-11	Newmarket	52.2489871	0.379743653	308774	HE969224-HE969305
27	L	2007-04-09	2007-04-15	Newmarket	52.2489871	0.379743653	308961	HE969551-HE969567
28	N	2007-04-09	2007-04-10	Newmarket	52.252748	0.405283	308269	HE969159-HE969209
29	M	2007-04-09	2007-04-09	Newmarket	52.25443558	0.384641421	307991	HE969059-HE969106
30	L	2007-04-09	NA	Newmarket	52.24926208	0.379618074	308121	HE969106-HE969115
31	M	2007-04-10	2007-04-10	Newmarket	52.25471842	0.384641421	308556	HE969209-HE969223
32	M	2007-04-11	2007-04-11	Newmarket	52.254577	0.3847	308792	HE969305-HE969366
33	O	2007-04-12	2007-04-12	NA	51.164537	-0.422689	308875	HE969469-HE969495
34	N	2007-04-12	2007-03-15	Newmarket	52.252948	0.405483	308832	HE969366-HE969405
35	P	2007-04-15	2007-04-15	Newmarket	52.24874	0.436602	309082	HE969629-HE969649
36	Q	2007-04-15	2007-04-15	Newmarket	52.262743	0.371624	308993	HE969567-HE969629
37	N	2007-04-15	2007-04-15	Newmarket	52.252548	0.405483	309089	HE969649-HE969691
38	R	2007-04-15	2007-04-15	Newmarket	52.246943	0.383306	308930	HE969495-HE969551
39	L	2007-04-16	2007-04-16	Newmarket	52.24934725	0.379908128	309225	HE969768-HE969813
40	L	2007-04-17	2007-04-18	Newmarket	52.24926208	0.379981926	309753	HE969885-HE969958
41	S	2007-04-18	2007-04-18	Not Newmarket	NA	NA	309223	HE969691-HE969768
42	L	2007-04-20	2007-04-20	Newmarket	52.24904803	0.37964885	309869	HE969958-HE970023
42	L	2007-04-20	2007-04-22	Newmarket	52.24904803	0.37964885	309991	HE970097-HE970183
43	L	2007-04-20	2007-04-20	Newmarket	52.24934725	0.379691872	309899	HE970026-HE970047
44	L	2007-04-20	2007-04-20	Newmarket	52.249379	0.3798	309873	HE970023-HE970026
45	N	2007-04-20	2007-04-23	Newmarket	52.252748	0.405683	309944	HE970047-HE970082
46	V	2007-04-20	2007-05-09	Newmarket	52.253968	0.42067	309650	HE969813-HE969885
47	L	2007-04-22	2007-04-22	Newmarket	52.24915054	0.379602036	309989	HE970082-HE970097
48	T	2007-04-23	2007-04-23	Guilford	51.239167	-0.571432	310363	HE970183-HE970214
49	U	2007-04-29	2007-04-29	Newmarket	52.256479	0.422118	904	HE970296-HE970318
50	W	2007-05-09	2007-05-09	Wantage	51.509596	-1.429922	311920	HE970249-HE970296
NA	NA	NA	NA	NA	NA	NA	311089	HE970214-HE970249
