Study	donor	recipient	daydiff
Hetero_New_5_03	2761_6652	6292_9476	2
Hetero_New_5_03	6292_9476	1420_6273	2.5
Hetero_New_5_03	1420_6273	1353_1680	3.5
Hetero_New_5_03	1353_1680	9631_9814	2.5
Hetero_New_5_03	9631_9814	2220_6285	2.5
Hom_New_5_03	2321_2651	1503_9307	2
Hom_New_5_03	1503_9307	1718_9204	3
Hom_New_5_03	1718_9204	2190_639	6
Hom_New_5_03	2190_639	692_2945	1
Hom_New_5_03	692_2945	9359_9764	2.5
Vac_New_1_93	5923	5791	3
Vac_New_1_93	5791	8559	2
Vac_New_1_93	8559	8629	2
Vac_New_1_93	8629	5613	6
Na夫e_New_1_93	7D36	7248	4
Na夫e_New_1_93	7D36	6005	3
Na夫e_New_1_93	7248	5447	3
Na夫e_New_1_93	7248	7C1C	2
Na夫e_New_1_93	7C1C	2F50	3
Na夫e_New_1_93	7C1C	7A45	4
Na夫e_New_1_93	6005	5257	3
Na夫e_New_1_93	5257	780C	3
Na夫e_New_1_93	5257	5D1A	4
